dbo:MusicalArtist;;;who is <A>;select ?a where { <A> <http://dbpedia.org/ontology/abstract> ?a };select ?a where { ?a <http://dbpedia.org/ontology/abstract> [] . ?a a <http://dbpedia.org/ontology/MusicalArtist> }
dbo:Place;;;what is the associated musical artist of <A>;select ?a where { <A> <http://dbpedia.org/ontology/associatedMusicalArtist> ?a };select ?a where { ?a <http://dbpedia.org/ontology/associatedMusicalArtist> [] . ?a a <http://dbpedia.org/ontology/Place> }
http://dbpedia.org/class/yago/Entertainer109616922|http://dbpedia.org/ontology/MusicalArtist;;;In how many languages did <A> sing?;SELECT DISTINCT COUNT(?uri) where { ?x dbp:artist <A> . ?x dbp:language ?uri };select distinct ?a where { ?x dbp:artist ?a . ?x dbp:language ?uri };522b9a5a5c03491bbbb0b8eb89fc063f
http://dbpedia.org/class/yago/Entertainer109616922|http://dbpedia.org/ontology/MusicalArtist;;;<A> did the music for what movies?;SELECT DISTINCT ?uri where { ?uri dbp:music <A> . ?uri a dbo:Film };select distinct ?a where { ?uri dbp:music ?a . ?uri a dbo:Film };59686a5c59394e02a601a3632e7c72bf
http://dbpedia.org/ontology/MusicalArtist;;;<A> has composed music for how many things?;SELECT DISTINCT COUNT(?uri) where { ?uri dbo:composer <A> };select distinct ?a where { ?uri dbo:composer ?a };1baf73ee859f4a678e907f2e806738b0
http://dbpedia.org/class/yago/WikicatGuitarAmplifierManufacturers;;;<A> is a musical instrument played by which artists?;SELECT DISTINCT ?uri where { ?uri dbo:instrument <A> . ?uri a dbo:MusicalArtist };select distinct ?a where { ?uri dbo:instrument ?a . ?uri a dbo:MusicalArtist };f40c1a2ee9c24177ad87206df71211e0
http://dbpedia.org/class/yago/Entertainer109616922|http://dbpedia.org/ontology/MusicalArtist;;;<A> is in which band?;SELECT DISTINCT ?uri where { ?uri dbo:bandMember <A> };select distinct ?a where { ?uri dbo:bandMember ?a };a2ccd223b18049ec8f3baa631c19db91
http://dbpedia.org/class/yago/Entertainer109616922|http://dbpedia.org/ontology/MusicalArtist;;;<A> is the member of what band?;SELECT DISTINCT ?uri where { ?uri dbp:currentMembers <A> . ?uri a dbo:Band };select distinct ?a where { ?uri dbp:currentMembers ?a . ?uri a dbo:Band };47e1ecb9aed24329aa182ac22dd61027
http://dbpedia.org/class/yago/Entertainer109616922|http://dbpedia.org/ontology/MusicalArtist;;;<A> makes songs in which languages?;SELECT DISTINCT ?uri where { ?x dbp:artist <A> . ?x dbp:language ?uri };select distinct ?a where { ?x dbp:artist ?a . ?x dbp:language ?uri };2f4493990eff40b794e67500a851e312
http://dbpedia.org/class/yago/Entertainer109616922|http://dbpedia.org/ontology/MusicalArtist;;;<A> was associated with which band?;SELECT DISTINCT ?uri where { ?uri dbo:associatedBand <A> };select distinct ?a where { ?uri dbo:associatedBand ?a };c838dc07c8ba4000a51426ddb603d08d
http://dbpedia.org/class/yago/Entertainer109616922|http://dbpedia.org/ontology/MusicalArtist;;;For which band did <A> perform in the past?;SELECT DISTINCT ?uri where { ?uri dbp:pastMembers <A> };select distinct ?a where { ?uri dbp:pastMembers ?a };1d30861aa35d4f9b8ece033370c4e15c
http://dbpedia.org/class/yago/WikicatGuitars;;;What are some famous artists who rocked <A>?;SELECT DISTINCT ?uri where { ?uri dbp:notableInstruments <A> . ?uri a dbo:MusicalArtist };select distinct ?a where { ?uri dbp:notableInstruments ?a . ?uri a dbo:MusicalArtist };ede3db931b55452880393aec59f27131
http://dbpedia.org/ontology/MusicalArtist;;;What are the movies whose music is composed by <A>?;SELECT DISTINCT ?uri where { ?uri dbo:musicComposer <A> . ?uri a dbo:Film };select distinct ?a where { ?uri dbo:musicComposer ?a . ?uri a dbo:Film };bf81b0ed08944a0091644587ff07d4fc
http://dbpedia.org/class/yago/Entertainer109616922|http://dbpedia.org/ontology/MusicalArtist;;;which band was <A> in?;SELECT DISTINCT ?uri where { ?uri dbo:formerBandMember <A> };select distinct ?a where { ?uri dbo:formerBandMember ?a };b3398e30fff34e49a28ba477ae3090e9